MaleNames;FemaleNames
BaSneferunefer;SetNebettawynefer
NeferQa'ara;AmonTakhatamon
SaShepseskafhotep;SetMeritamenre
AnkhMentuhotepka;Aset
AmonDenhotep;Cleopatra
TehUnasta;HetMeritamenep
HetNarmerka;HetHenuttanebre
AmonSneferuep;NeferIsetnofretu
BaSobekhotepra;SetSheryhotep
SaAhmosere;RaAnkhesenamunseth
SetIntefra;HetSitrenefer
KaSahurenefer;NeferPeseshetka
HetDenra;AnkhSheryu
SaAmenhotepta;AmonSensenebnefer
AmonSetiamon;BaKhentkausnefer
SaKhasekhemwyre;HetAsetseth
TehIntefamon;TehSheryamon
HetMerneptahre;AmonPeseshetamon
NeferKakaiep;SaTashatnefer
KaAhmosenefer;KaCleopatraka
HetUnasseth;KaCleopatraseth
TehQa'ahotep;AmonMerytrere
Senusret;HetMeritamenseth
NeferTutankhamunamon;RaSitrere
SetDjedefrehotep;SetHenuttanebre
AnkhWenisseth;SaAsetnefer
SaAkhenatenamon;Peseshet
SaTetiep;SetCleopatrau
HetPeribsenseth;BaAnkhesenamunamon
SetSobekhotepnefer;Nodjmet
AmonPeribsenep;Sitkamose
Kakai;SetThuyaamon
Pepi;SetNeferureamon
TehTutankhamunu;AnkhHenutmehytep
RaSemerkhetra;RaTashatu
AnkhKakainefer;TehTiare
TehRamessesseth;KaThuyara
NeferMenkaureu;RaCleopatrau
BaPepiep;RaAnkhesenamunep
BaIntefnefer;HetHatshepsuthotep
TehThutmoseu;KaTiare
TehMerikareta;HetHenutmireseth
SaTutankhamunka;KaThuyaka
SaKhafreamon;Ankhesenamun
AmonSekhemkhetseth;AnkhNeferurehotep
BaTutankhamunamon;SaPeseshetnefer
NeferPeribsenhotep;KaSitkamosehotep
AnkhPeribsenre;Baketamon
SaAmenemhatamon;NeferHenuttanebhotep
BaAmenhotepu;AmonNodjmetka
HetIntefre;TehNeferureseth
SetSemerkhetre;NeferNeferureu
Huni;BaAathotep
SaIry-Horu;RaNodjmetnefer
SetAmenemhatamon;HetNefertariu
AmonIntefhotep;SetKhenemetneferhedjetra
AmonIry-Horu;RaTadukhipata
HetTetiamon;KaKhenemetneferhedjethotep
NeferPepihotep;SetHenutmirere
RaKakaiep;Beketaten
Amenhotep;HetIsetnofretta
HetTetihotep;KaTadukhipaamon
AnkhAhmosehotep;BaSitkamoseta
Peribsen;SaMutnodjmetre
KaRamessesseth;AmonThuyata
KaNynetjeramon;RaBaketamonra
HetShepseskafra;NeferMutnodjmetta
TehSekhemkhetseth;TehSitkamoseamon
AmonWenisseth;AmonPeseshetu
AnkhSneferuamon;AnkhHenuttanebseth
BaMenkaureka;SetNodjmetnefer
BaAhmoseep;AnkhNebetahu
AmonAkhenatenta;HetSitreseth
AmonSetinefer;KaTadukhipau
RaDjoserra;BaBintanathamon
AmonWenisre;RaNebettawyu
RaIry-Horhotep;AnkhMeritamenhotep
HetTutankhamunhotep;SaMutnodjmetra
SetSenusrethotep;NeferNebettawyamon
AmonAmenhotepep;HetSensenebu
Merikare;AmonNebettawyra
SetTetire;HetSensenebamon
NeferMerneptahka;SaSheryu
KaQa'aamon;HetHenutmehytu
NeferNeferkareu;SetAsetamon
TehHoremhebra;KaAnkhesenamunnefer
BaMerikareu;RaMerytreep
BaAhmoseu;TehKhenemetneferhedjetnefer
KaWeniska;BaMutemwiyahotep
SetIntefhotep;AnkhMutep
SetSahureseth;AnkhMutnodjmetre
TehAmenhotepka;RaSensenebka
AnkhSemerkhetra;AmonMutep
AnkhHunihotep;RaMutnodjmetep
HetMerikarera;AmonTiara
SaMenkaurehotep;AmonNebettawyta
HetSneferuu;BaHenutmireseth
Sekhemkhet;AnkhNeferurere
KaSemerkhetseth;RaMutemwiyahotep
AnkhHoremhebep;TehMutnodjmetep
AmonAhmoseka;NeferMutnodjmetep
RaPeribsenta;AmonTashatamon
AnkhAmenhotepre;SetAatu
NeferMerneptahta;KaSensenebhotep
RaMenkaureta;HetBintanathnefer
RaKhafreka;SetKhenemetneferhedjetre
AmonAmenemhatre;AmonNefertitiep
HetMerikareu;AmonThuyanefer
BaNynetjerre;NeferBintanathseth
BaNarmeru;RaSensenebu
SaNarmerka;SetTakhatre
SetNynetjerre;RaHenutmireep
AmonWenista;NeferBaketamonre
BaKhetyhotep;Nefertari
AmonMenkaurere;TehTiaaep
AnkhIry-Horamon;AmonTadukhipahotep
KaMenkaurere;AmonBeketatenseth
SaSobekhotephotep;SetHatshepsutra
TehDjoserka;SaTiaaka
SetSobekhotepamon;AmonAatamon
NeferRamessesseth;BaNodjmetseth
BaRamessesnefer;NeferTadukhipara
Menkaure;SetNefertariamon
BaSahureep;AnkhSitamunnefer
Tutankhamun;BaKhentkausre
SaThutmoseka;NeferNebettawyep
SaTutankhamunhotep;AnkhHenutmireamon
SetHuniseth;RaTiaata
RaShepseskafseth;NeferHenutmirere
RaHoremhebre;NeferTiaaka
NeferKhafreu;SaTadukhipare
RaKhafreep;RaTiyere
AmonDenseth;SetTadukhipau
AnkhMentuhotepamon;RaKhentkauska
SetNynetjerta;RaNeferurenefer
AnkhTetita;NeferAsetka
HetSemerkhetka;TehMutnodjmetra
AnkhSekhemkhetre;KaHenutmireamon
RaMerikarenefer;Henutmire
SaSenusretamon;RaTashatamon
NeferWenisu;NeferNefertarira
HetPepinefer;SaMerytreu
