BuildingDefinition;Name;Quantity;MaxQuantity;StorageType
Windmill;Wheat;0;5;Public
Windmill;Flour;0;10;Private
Bakery;Flour;0;5;Public
Bakery;Bread;0;10;Private
Tavern;Beer;5;30;Private
Bazaar;Food;0;25;Private
Bazaar;Beer;0;25;Private
Bazaar;Clothes;0;25;Private
Warehouse;Wheat;0;100;Public
Warehouse;Linen;0;100;Public
Warehouse;Flour;0;100;Public
Warehouse;Beer;0;100;Public
Warehouse;Clothes;0;100;Public
Granary;Bread;0;50;Public
Granary;Meat;0;50;Public
WheatFarm;Wheat;0;10;Private
LinenFarm;Linen;0;10;Private
Brewery;Wheat;0;5;Public
Brewery;Beer;0;10;Private
WeavingMill;Linen;0;5;Public
WeavingMill;Clothes;0;10;Private
