BuildingDefinition;WorkplaceType;RequiredCommodity;RequiredCommodityQuantity;ProcessedCommodity;ProcessedCommodityQuantity;ProcessingTime;MinimumWorkersCount;MaxWorkersCount;CarriersCount;InfluenceRange
Windmill;MaterialProcessing;Wheat;1;Flour;1;5;2;10;1;
Bakery;MaterialProcessing;Flour;1;Bread;3;15;1;5;1;
Bazaar;DistributionPoint;;;;;;3;25;3;30
WheatFarm;RawResourceProducer;;;Wheat;1;10;1;10;1;
LinenFarm;RawResourceProducer;;;Linen;1;10;1;10;1;
Pasture;RawResourceProducer;;;Meat;1;15;1;15;2;
Well;DistributionPoint;;;;;;1;3;1;10
Brewery;MaterialProcessing;Wheat;1;Beer;1;15;2;8;1;
WeavingMill;MaterialProcessing;Linen;1;Clothes;1;20;1;4;1;
Tavern;DistributionPoint;Beer;25;;;;3;8;1;15
TaxCollector;DistributionPoint;;;;;;1;3;1;10
